"CpGlist_best","n"
"NC_047151.1.10785",91
"NC_047172.1.26307361",88
"NC_047152.1.5986",79
"NC_047153.1.32669800",79
"NC_047151.1.11792",71
"NC_047174.1.21435055",70
"NC_047172.1.26303009",61
"NC_047155.1.30747359",58
"NC_047155.1.30751619",57
"NC_047153.1.32670710",53
"NC_047170.1.1470",49
"NC_047169.1.16885311",46
"(Intercept)",45
"NC_047174.1.21430655",45
"NC_047155.1.24555900",44
"NC_047172.1.26308364",43
"NC_047155.1.30745806",42
"NC_047170.1.1435",40
"NC_047155.1.30750614",38
"NC_047153.1.32673779",35
"NC_047155.1.30744495",35
"NC_047161.1.22201614",34
"NC_047155.1.30745807",33
"NC_047164.1.24801420",32
"NC_047172.1.26293714",31
"NC_047174.1.21431948",30
"NC_047163.1.29038111",29
"NC_047165.1.910853",29
"NC_047165.1.906805",27
"NC_047152.1.1693392",23
"NC_047153.1.32668125",23
"NC_047172.1.26293982",22
"NC_047174.1.21431277",22
"NC_047163.1.18713047",21
"NC_047165.1.910121",21
"NC_047170.1.1540",21
"(Intercept)",100
"NC_047172.1.26293714",96
"NC_047151.1.51",92
"NC_047151.1.9880",82
"NC_047172.1.26305360",82
"NC_047151.1.3735",79
"NC_047174.1.21423903",76
"NC_047172.1.26305253",72
"NC_047153.1.32666356",68
"NC_047153.1.32668125",64
"NC_047155.1.30751668",64
"NC_047155.1.30740795",60
"NC_047153.1.32664060",56
"NC_047153.1.32666785",53
"NC_047151.1.13802",52
"NC_047151.1.10551",51
"NC_047155.1.30744502",48
"NC_047168.1.480431",48
"NC_047164.1.2171775",44
"NC_047153.1.32668795",41
"NC_047174.1.21427009",41
"NC_047165.1.15412428",39
"NC_047157.1.604941",38
"NC_047174.1.21425138",36
"NC_047153.1.32673649",35
"NC_047153.1.32666836",33
"NC_047174.1.21422892",33
"NC_047151.1.26569",32
"NC_047164.1.2171813",31
"NC_047174.1.21428354",30
"NC_047151.1.1394",26
"NC_047151.1.8440",26
"NC_047153.1.32660806",26
"NC_047152.1.11751",24
"NC_047161.1.22177668",24
"NC_047155.1.30747359",23
"NC_047160.1.5661174",23
"NC_047159.1.29159906",22
"NC_047160.1.230857",22
"NC_047171.1.2286731",22
"NC_047151.1.3072",21
"NC_047151.1.4413",21
"NC_047153.1.31186743",21
"NC_047159.1.29162690",21
"NC_047161.1.22201977",21
"NC_047165.1.907148",21
